"","ID","Year_Birth","Education","Marital_Status","Income","Kidhome","Teenhome","MntMeatProducts","NumWebPurchases","NumCatalogPurchases","NumStorePurchases"
"100",3037,1983,"PhD","Married",50150,0,0,17.1833260932509,2.47213595499958,0.82842712474619,3.29150262212918
"101",1473,1960,"2n Cycle","Single",47823,0,1,2.47213595499958,0.82842712474619,-2,1.46410161513775
"102",1016,1959,"PhD","Single",34554,0,1,2.89897948556636,0.82842712474619,-2,1.46410161513775
"103",4518,1979,"Graduation","Together",85693,0,1,25.0554985169374,4,2.47213595499958,4.6332495807108
"104",9370,1945,"PhD","Married",65846,0,0,31.2264954516723,2.89897948556636,1.46410161513775,2.89897948556636
"105",8908,1959,"Graduation","Married",87195,0,0,50.5357021462548,1.46410161513775,4.6332495807108,2.47213595499958
"106",8373,1979,"Basic","Together",24594,1,0,2.89897948556636,0,-2,1.46410161513775
"107",7533,1964,"Graduation","Married",49096,1,1,9.31370849898476,2,0,2
"108",2683,1969,"Graduation","Married",52413,0,2,30.9241552663087,2.89897948556636,2,4.92820323027551
"109",3629,1978,"Graduation","Single",38557,1,0,9.13552872566004,1.46410161513775,0,1.46410161513775
"110",10991,1960,"Master","Married",89058,0,0,18.591260281974,2.47213595499958,2,2
"111",5077,1979,"Graduation","Together",77298,0,1,32.1760149812701,2.89897948556636,2.89897948556636,4.6332495807108
"112",7431,1991,"PhD","Single",68126,0,0,33.2703841770968,3.29150262212918,2,2.47213595499958
"113",3267,1963,"Master","Together",57288,0,1,7.16515138991168,3.65685424949238,0,3.65685424949238
"114",999,1991,"Graduation","Single",86037,0,0,20.3606797749979,2.89897948556636,3.29150262212918,4.6332495807108
"115",9215,1980,"PhD","Married",43974,1,0,18.0997512422418,2.89897948556636,2,2.89897948556636
"116",2286,1962,"Graduation","Single",50785,1,1,7.16515138991168,0.82842712474619,0,1.46410161513775
"117",1592,1970,"Graduation","Married",90765,0,0,54.9912273951,2,2.89897948556636,2.47213595499958
"118",367,1978,"2n Cycle","Married",36550,1,0,17.3907194296653,4,0,2.47213595499958
"119",5234,1967,"2n Cycle","Together",30753,1,1,8,0,0,1.46410161513775
"120",9862,1969,"Graduation","Together",21918,1,0,3.29150262212918,0.82842712474619,-2,1.46410161513775
"121",9805,1953,"Master","Together",56129,0,1,21.0651251893416,2.89897948556636,0.82842712474619,4.32455532033676
"122",6205,1967,"Master","Single",32557,1,0,8.77032961426901,0.82842712474619,0,1.46410161513775
"123",8442,1985,"Master","Married",19510,2,0,3.29150262212918,0,-2,1.46410161513775
"124",7386,1976,"Graduation","Divorced",30992,1,0,5.48331477354788,0,-2,1.46410161513775
"125",7215,1983,"Graduation","Single",101970,0,0,18.1990098767242,2.89897948556636,3.65685424949238,5.21110255092798
"126",1491,1965,"2n Cycle","Together",71488,0,0,20.2710574513201,1.46410161513775,2,3.29150262212918
"127",11071,1984,"Graduation","Single",79607,0,0,59.6765757804371,1.46410161513775,2.89897948556636,2.89897948556636
"128",3381,1953,"Master","Married",54348,1,1,6,0.82842712474619,-2,2
"130",11051,1956,"PhD","Together",77376,1,1,18.976176963403,2.89897948556636,1.46410161513775,4.32455532033676
"131",8026,1952,"Graduation","Married",62998,0,1,15.0880074906351,2.47213595499958,2,2.47213595499958
"132",433,1958,"Master","Alone",61331,1,1,11.7113092008021,4.6332495807108,0,2.89897948556636
"133",9597,1969,"Graduation","Married",73448,0,0,25.495454169735,3.29150262212918,0.82842712474619,4
"135",5290,1964,"PhD","Married",41551,1,1,9.48912529307606,2.47213595499958,0,2.47213595499958
"136",1685,1967,"PhD","Together",62981,0,0,46.5798312059645,2,2.47213595499958,5.21110255092798
"137",5342,1976,"Basic","Divorced",9548,1,0,1.46410161513775,0,-2,1.46410161513775
"138",9579,1959,"PhD","Married",33762,2,1,9.6619037896906,0.82842712474619,0.82842712474619,0.82842712474619
"139",7660,1973,"PhD","Alone",35860,1,1,3.65685424949238,0,0,0.82842712474619
"140",1461,1965,"PhD","Divorced",36921,1,1,4.92820323027551,0.82842712474619,-2,1.46410161513775
"141",821,1992,"Master","Single",92859,0,0,58.6959636219741,2.47213595499958,2,4.92820323027551
"142",11084,1976,"Master","Together",65104,0,1,28.4630924234556,1.46410161513775,2.47213595499958,3.29150262212918
"143",8690,1962,"Graduation","Married",86111,0,0,52.9909083394701,2.47213595499958,3.29150262212918,4.32455532033676
"144",2937,1974,"PhD","Single",68352,0,1,20.9782505861521,3.65685424949238,2.47213595499958,4
"145",9701,1988,"Graduation","Together",41883,1,0,10.8062484748657,2,0.82842712474619,1.46410161513775
"146",9949,1976,"Graduation","Married",59809,0,2,21.7486841740758,1.46410161513775,1.46410161513775,2.89897948556636
"147",10837,1975,"Graduation","Married",23957,1,0,6.48528137423857,0.82842712474619,-2,1.46410161513775
"148",3120,1981,"Graduation","Together",38547,1,0,4.32455532033676,0,-2,0.82842712474619
"149",5885,1973,"2n Cycle","Married",35688,2,1,16.9736659610103,2,0,2
"150",4050,1966,"Master","Married",49605,0,0,8.77032961426901,0.82842712474619,0,2
"151",3830,1953,"Master","Married",59354,0,2,15.6635217326557,2,2,3.29150262212918
"152",7987,1969,"Graduation","Married",65747,0,1,11.856406460551,3.65685424949238,0,2.89897948556636
"153",7798,1972,"2n Cycle","Together",46344,0,1,13.0996688705415,3.29150262212918,0,2.47213595499958
"154",92,1988,"Graduation","Alone",34176,1,0,7.79795897113271,1.46410161513775,-2,2
"155",7055,1952,"PhD","Together",61010,0,1,13.0996688705415,3.65685424949238,2.47213595499958,4.6332495807108
"156",10240,1949,"Graduation","Together",69372,0,0,30.8024389337135,4.32455532033676,2,2.89897948556636
"157",3025,1958,"Graduation","Single",49967,0,1,14.6132477258361,2.89897948556636,0,2.47213595499958
"158",9283,1978,"Graduation","Single",60199,1,2,3.29150262212918,-2,-2,1.46410161513775
"159",9970,1977,"Graduation","Together",55375,0,1,13.0996688705415,0,0,2.89897948556636
"160",2730,1955,"Graduation","Single",80317,0,0,37.344631145812,1.46410161513775,2,4.32455532033676
"161",2795,1958,"Master","Single",30523,2,1,1.46410161513775,0,-2,0.82842712474619
"162",9260,1945,"PhD","Married",70356,0,0,29.559467676119,4.32455532033676,2.89897948556636,4
"163",8182,1984,"Graduation","Married",23228,1,0,12,1.46410161513775,-2,2
"164",10095,1975,"PhD","Divorced",74165,0,0,28.9838667696593,2.47213595499958,2,4.32455532033676
"165",8475,1973,"PhD","Married",157243,0,1,14.4924225024706,-2,7.38083151964686,-2
"166",4370,1966,"Graduation","Together",43482,2,1,9.31370849898476,0.82842712474619,-2,2
"167",10573,1953,"Graduation","Divorced",62551,0,0,17.7989898732233,2.89897948556636,3.29150262212918,2
"168",3712,1959,"Graduation","Divorced",52332,0,0,9.48912529307606,1.46410161513775,0.82842712474619,2.89897948556636
"169",6637,1988,"Graduation","Single",66951,0,0,32.928498393146,1.46410161513775,2,3.29150262212918
"170",3152,1957,"Graduation","Together",26091,1,1,6.71779788708135,0.82842712474619,0,1.46410161513775
"171",5610,1965,"Graduation","Together",33456,1,1,4.32455532033676,0,-2,1.46410161513775
"172",6460,1982,"Graduation","Married",28718,1,0,2.89897948556636,0.82842712474619,-2,1.46410161513775
"173",1349,1970,"Graduation","Married",50447,2,0,7.79795897113271,1.46410161513775,0,1.46410161513775
"174",1880,1959,"PhD","Together",53537,1,1,2.89897948556636,0.82842712474619,0,1.46410161513775
"175",641,1967,"Graduation","Single",52074,0,1,4.92820323027551,0.82842712474619,0.82842712474619,0.82842712474619
"176",8717,1975,"PhD","Married",80427,0,1,40.3792402008342,4.6332495807108,3.65685424949238,3.65685424949238
"177",10314,1948,"PhD","Married",83837,0,0,19.8174242292714,4,4.32455532033676,2.47213595499958
"178",10854,1970,"PhD","Married",38853,1,1,5.48331477354788,0.82842712474619,-2,1.46410161513775
"179",10492,1959,"Graduation","Together",38285,2,1,2.47213595499958,-2,-2,1.46410161513775
"180",6935,1951,"2n Cycle","Married",78497,0,0,40.2847490237319,2.47213595499958,3.29150262212918,4.92820323027551
"181",7698,1976,"PhD","Married",51650,0,1,7.38083151964686,2,0,2
"182",3559,1988,"2n Cycle","Married",16248,1,0,4.32455532033676,0.82842712474619,0,1.46410161513775
"183",10562,1946,"Master","Married",66835,0,0,25.9284800875379,2.89897948556636,2,5.21110255092798
"184",10796,1984,"Master","Married",30477,1,0,2.89897948556636,0,0,1.46410161513775
"185",2563,1961,"Basic","Married",28249,0,0,3.29150262212918,0.82842712474619,-2,1.46410161513775
"186",3518,1983,"Graduation","Married",25271,1,0,6.48528137423857,0,0,0.82842712474619
"187",5823,1970,"PhD","Single",32303,0,1,0.82842712474619,0,-2,2
"188",3934,1966,"Graduation","Married",61286,0,1,18.6881608655772,3.29150262212918,0,3.65685424949238
"189",6982,1976,"Graduation","Married",74068,0,0,44.3465209050259,2,4.32455532033676,4
"190",6431,1964,"PhD","Married",45759,1,1,6.48528137423857,0.82842712474619,-2,1.46410161513775
"191",9733,1978,"Basic","Together",24882,1,0,4.32455532033676,0,0,0.82842712474619
"192",5602,1989,"PhD","Together",66973,0,0,39.5692193816531,3.65685424949238,3.29150262212918,4.92820323027551
"193",7829,1970,"2n Cycle","Divorced",36640,1,0,3.65685424949238,0.82842712474619,0,0.82842712474619
"194",1324,1988,"Graduation","Married",38872,1,0,7.16515138991168,1.46410161513775,-2,1.46410161513775
"195",326,1973,"Graduation","Married",51148,1,1,11.4164078649987,2.47213595499958,0,2.89897948556636
"196",7224,1977,"Graduation","Married",31353,1,1,4.32455532033676,0,0,0.82842712474619
"197",6999,1980,"Master","Married",69661,0,0,18.591260281974,3.29150262212918,1.46410161513775,4.92820323027551
"198",9938,1954,"Graduation","Married",80067,0,0,55.026309717533,2,2.89897948556636,2.89897948556636
"199",6422,1954,"Graduation","Married",86718,0,0,41.9089968002003,2.47213595499958,2.89897948556636,2.47213595499958
"200",3182,1973,"PhD","Single",46854,1,1,15.7763888346312,2.47213595499958,0,1.46410161513775
"201",7300,1952,"Graduation","Divorced",69142,0,1,9.6619037896906,3.65685424949238,0,3.29150262212918
"202",10424,1968,"Graduation","Single",75922,0,0,45.0319040652194,2,2,4
"203",8727,1978,"Graduation","Divorced",63693,0,1,34.7151195013716,4.6332495807108,2.89897948556636,4
"204",2798,1977,"PhD","Together",102160,0,0,21.4946802489415,3.29150262212918,4,4.32455532033676
"205",1030,1965,"PhD","Single",40637,1,1,5.21110255092798,0,-2,1.46410161513775
"206",624,1984,"Master","Single",18890,0,0,0,-2,0,0.82842712474619
"207",5176,1988,"Graduation","Together",29604,1,0,5.21110255092798,0,-2,1.46410161513775
"208",5552,1963,"Master","Divorced",48721,1,1,19.2602916254693,2,0.82842712474619,2.47213595499958
"209",868,1966,"Graduation","Married",44794,0,1,3.29150262212918,0.82842712474619,-2,1.46410161513775
"210",380,1954,"Graduation","Divorced",64497,0,1,33.7770876399966,4.6332495807108,2,4
"211",2677,1956,"Graduation","Together",46097,0,1,14.4924225024706,1.46410161513775,0,2.89897948556636
"212",6521,1954,"Graduation","Together",77972,0,0,33.7211421989835,2,2.89897948556636,4
"213",6927,1968,"PhD","Married",44377,1,1,8.95445115010332,2.47213595499958,0,2.47213595499958
"214",2877,1974,"Master","Together",46014,1,1,13.3622914957372,3.29150262212918,0,3.65685424949238
"215",0,1985,"Graduation","Married",70951,0,0,45.0744091837593,1.46410161513775,2,4
"216",1584,1977,"Graduation","Married",41443,1,0,24.153393661244,3.65685424949238,0,2.47213595499958
"217",7264,1978,"2n Cycle","Single",52195,2,1,2,0,-2,0.82842712474619
"218",6274,1948,"Master","Married",83790,0,0,38.8411557133243,3.65685424949238,4.32455532033676,2.89897948556636
"219",1377,1954,"Master","Widow",44551,0,1,9.48912529307606,2,0,2.47213595499958
"220",454,1980,"Graduation","Together",69508,1,0,23.4558441227157,4.6332495807108,2,4.6332495807108
"221",1755,1988,"2n Cycle","Together",45204,1,0,8,0,0,2
"222",2075,1969,"Graduation","Married",72460,0,0,44.475800154489,1.46410161513775,2.47213595499958,3.29150262212918
"223",4785,1970,"PhD","Together",77622,0,2,22.8193472919817,2.89897948556636,1.46410161513775,4.6332495807108
"224",9076,1980,"PhD","Married",30732,1,0,8,2,0,2
"225",7079,1962,"Graduation","Divorced",63887,0,1,26.7749891398763,4,2.89897948556636,4.92820323027551
"226",4653,1978,"Graduation","Together",42011,1,0,6,1.46410161513775,0,2
"227",7375,1976,"Graduation","Together",51369,0,1,15.7763888346312,3.65685424949238,0.82842712474619,2
"228",709,1952,"Graduation","Divorced",51537,0,1,26.5657137141714,0.82842712474619,0.82842712474619,4.6332495807108
"229",460,1972,"PhD","Married",79930,0,0,52.4058820349418,1.46410161513775,2.47213595499958,3.65685424949238
"230",3726,1986,"PhD","Together",34320,1,0,4,0,-2,0.82842712474619
"231",6798,1966,"Graduation","Single",37070,1,1,21.4093998214393,2.47213595499958,0,3.65685424949238
"232",5341,1962,"2n Cycle","Divorced",81975,0,1,25.1293199325011,2.89897948556636,1.46410161513775,2
"233",1606,1971,"Graduation","Together",38590,1,0,3.65685424949238,0,-2,0.82842712474619
"234",9617,1951,"Graduation","Single",15033,0,0,2.47213595499958,0,-2,1.46410161513775
"235",3233,1965,"PhD","Married",62745,0,1,41.081318457076,3.29150262212918,3.65685424949238,4.6332495807108
"236",89,1975,"2n Cycle","Married",22212,1,0,6.94427190999916,0.82842712474619,-2,2
"237",2936,1982,"Master","Together",23661,1,0,2,0,-2,1.46410161513775
"238",9449,1958,"PhD","Single",79761,0,1,20.2710574513201,2.47213595499958,0.82842712474619,4.6332495807108
"239",7297,1973,"Graduation","Single",7500,1,0,4.32455532033676,1.46410161513775,0,1.46410161513775
"240",11004,1970,"2n Cycle","Single",60182,0,1,2.47213595499958,0,-2,0.82842712474619
"241",313,1968,"Graduation","Widow",73455,0,0,53.0272659687904,2.89897948556636,2.47213595499958,4.32455532033676
"242",9940,1958,"Graduation","Together",64961,0,1,31.2264954516723,2.89897948556636,2,2
"243",10735,1971,"Graduation","Single",22804,1,0,3.29150262212918,0.82842712474619,-2,0.82842712474619
"244",9529,1990,"Graduation","Married",73687,0,0,42.8553229840116,1.46410161513775,4,4
"245",6439,1958,"Graduation","Married",61074,0,1,21.0651251893416,4.6332495807108,2.47213595499958,3.65685424949238
"246",7411,1964,"PhD","Married",31686,1,1,2.47213595499958,0,-2,1.46410161513775
"247",2176,1972,"Graduation","Married",80134,1,0,30.9848450049413,2.47213595499958,1.46410161513775,2.89897948556636
"248",9265,1953,"Graduation","Married",75027,0,1,24.7581763205193,4,2,2.89897948556636
"249",8867,1988,"PhD","Married",67546,0,0,53.4256258422041,2,4.32455532033676,2.47213595499958
"250",8932,1969,"Master","Together",65176,0,1,25.0554985169374,4,2.89897948556636,2.89897948556636
"251",10236,1975,"Master","Single",31160,1,0,8,0.82842712474619,-2,1.46410161513775
"252",6340,1985,"Graduation","Single",29938,1,0,3.29150262212918,0,-2,1.46410161513775
"253",10089,1974,"Graduation","Divorced",102692,0,0,40.142615011411,2.89897948556636,4,5.21110255092798
"254",2227,1958,"2n Cycle","Together",26490,0,0,12.422205101856,1.46410161513775,0,2.47213595499958
"255",10992,1967,"Graduation","Together",75702,1,1,35.5765884561119,2,2.89897948556636,4.6332495807108
"256",5304,1974,"PhD","Single",30899,1,0,3.65685424949238,0,-2,1.46410161513775
"257",309,1961,"PhD","Together",63342,0,1,19.7255609824004,3.65685424949238,1.46410161513775,2.47213595499958
"258",3406,1964,"Graduation","Single",45989,0,1,16.6547581061776,1.46410161513775,0.82842712474619,3.29150262212918
"259",2661,1964,"Graduation","Single",18701,1,1,0.82842712474619,0.82842712474619,-2,2
"260",3153,1957,"PhD","Single",40737,2,1,2,0,-2,0.82842712474619
"261",10264,1979,"Graduation","Divorced",15287,1,0,3.65685424949238,0,0,0.82842712474619
"262",1184,1968,"PhD","Divorced",69674,0,2,27.3257565972304,4.32455532033676,0.82842712474619,4.32455532033676
"263",4200,1970,"Master","Married",44159,1,0,13.7480157480236,2,0,2.89897948556636
"264",9396,1978,"PhD","Married",37717,1,0,2.89897948556636,0,-2,0.82842712474619
"265",2387,1952,"Master","Together",43776,1,1,14.8522995463527,2.47213595499958,0.82842712474619,2
"266",6690,1966,"Master","Married",38179,1,1,7.38083151964686,1.46410161513775,0,1.46410161513775
"267",1225,1963,"Graduation","Married",80124,0,0,37.89987468652,1.46410161513775,3.29150262212918,3.65685424949238
"268",9703,1970,"PhD","Married",38097,1,1,9.83215956619923,1.46410161513775,0.82842712474619,0.82842712474619
"269",291,1970,"Graduation","Married",72940,0,0,32.5253530032641,1.46410161513775,1.46410161513775,2.89897948556636
"270",4557,1970,"Graduation","Together",22070,1,0,6.71779788708135,0.82842712474619,0.82842712474619,0.82842712474619
"271",2379,1953,"Graduation","Single",69267,0,0,42.6766158073774,1.46410161513775,2,2.47213595499958
"272",5726,1983,"Master","Single",31788,1,0,7.59166304662544,1.46410161513775,-2,2
"273",3066,1975,"PhD","Together",61905,0,1,11.114877048604,2,0.82842712474619,2
"274",6336,1960,"Graduation","Married",29315,1,1,5.48331477354788,0.82842712474619,-2,2
"275",10967,1963,"Graduation","Divorced",33378,1,1,10.6491106406735,0.82842712474619,-2,2
"276",2304,1963,"PhD","Together",66313,0,1,17.8997487421324,2.89897948556636,1.46410161513775,4.92820323027551
"277",3445,1956,"Graduation","Single",60714,0,0,27.9332590941915,3.29150262212918,2,4.32455532033676
"278",7828,1981,"Master","Together",77882,0,0,37.7994974842648,1.46410161513775,1.46410161513775,2.47213595499958
"279",3762,1986,"PhD","Single",69867,0,0,43.254833995939,1.46410161513775,2.47213595499958,3.65685424949238
"280",4391,1968,"Master","Divorced",63841,0,1,18,4,1.46410161513775,4
"281",4669,1981,"Basic","Married",24480,1,0,4,1.46410161513775,-2,2
"282",10144,1976,"Graduation","Together",51369,0,1,15.7763888346312,3.65685424949238,0.82842712474619,2
"283",8652,1946,"Graduation","Together",37760,0,0,10.328828005938,2,0,2.89897948556636
"284",1672,1974,"PhD","Together",65640,0,1,22.4131112314674,2.47213595499958,0,3.65685424949238
"285",8962,1975,"Master","Married",44319,1,1,3.65685424949238,0.82842712474619,-2,1.46410161513775
"286",9974,1974,"Graduation","Married",30631,1,0,6.94427190999916,1.46410161513775,0,0.82842712474619
"287",10983,1952,"Graduation","Together",75278,0,0,28.3315017762062,2.89897948556636,1.46410161513775,5.21110255092798
"288",8148,1956,"Master","Together",50898,1,1,29.1126983722081,2.89897948556636,0.82842712474619,4.92820323027551
"289",10102,1966,"Graduation","Widow",79946,0,0,45.5394572960189,2.47213595499958,4.6332495807108,2.47213595499958
